filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,label
sylwiasober3.wav,0.45243188738822937,2568.2257477230305,2491.948549137058,5111.038500642123,0.1331670055650685,-410.0940856933594,86.49406433105469,14.255936622619629,25.83877944946289,5.358748912811279,-0.2878261208534241,-4.16007661819458,13.875232696533203,-10.464360237121582,1.4186640977859497,-3.48052978515625,-3.502077102661133,-9.03056812286377,0.18077118694782257,-8.214133262634277,1.628601312637329,-7.617082118988037,0.876401424407959,-7.855684280395508,-1.8174712657928467,sober
sylwiasober4.wav,0.4225926995277405,2567.9150309639194,2479.875426097352,5066.106008976064,0.13352241245567376,-392.8315124511719,83.24192810058594,15.32973861694336,27.749292373657227,3.628256320953369,-2.477238655090332,-6.380012035369873,12.853535652160645,-7.119131565093994,2.1563873291015625,-6.501368522644043,-2.054300308227539,-10.702555656433105,3.074997901916504,-6.941213607788086,-0.5839068293571472,-5.363389492034912,0.9043869376182556,-6.918276309967041,-2.388479471206665,sober
sylwiasober9.wav,0.41602227091789246,2532.243796623798,2495.398033062575,4994.910491756135,0.1346487969708589,-414.31048583984375,86.94937133789062,12.97314453125,22.61407470703125,9.561854362487793,4.1962714195251465,-6.45961332321167,14.364476203918457,-2.050482749938965,-0.018405726179480553,-10.907402038574219,-4.343531131744385,-9.420853614807129,0.4193931519985199,-4.619631290435791,-5.073173999786377,-5.203911304473877,1.0819734334945679,-6.962684154510498,3.83380389213562,sober
sylwiasober7.wav,0.414973646402359,2525.8163415709723,2534.441291310475,5116.354314630682,0.11672585227272728,-420.3010559082031,86.78741455078125,15.402338027954102,25.384855270385742,12.260016441345215,8.988205909729004,-5.596761703491211,9.049397468566895,0.032723166048526764,4.831989765167236,-10.126575469970703,-2.22038197517395,-7.574889183044434,-1.0999728441238403,-2.35469913482666,0.04882359504699707,-6.5099196434021,4.886203289031982,-8.93282699584961,1.8665876388549805,sober
sylwiasober1.wav,0.49796533584594727,2705.2035461837468,2560.4322226555937,5424.0425803444605,0.1392794522372159,-432.7431945800781,81.11074829101562,11.121591567993164,22.237775802612305,4.995380878448486,5.370916843414307,-1.8378580808639526,12.561715126037598,0.9056214690208435,-0.7296361327171326,-5.518009185791016,1.160075306892395,-10.153024673461914,4.614614963531494,-5.114390850067139,-1.4882432222366333,-5.1922831535339355,1.786424994468689,-6.848840713500977,3.914295196533203,sober
sylwiasober5.wav,0.3934957683086395,2475.873801980654,2454.228763246713,4956.8023681640625,0.11925397600446429,-419.2703552246094,85.88178253173828,13.684500694274902,27.592195510864258,5.291759490966797,0.48411688208580017,-3.5197582244873047,10.532294273376465,-5.303369998931885,0.15964725613594055,-5.436734199523926,-1.082636833190918,-10.792912483215332,2.0984079837799072,-8.648554801940918,-2.095154285430908,-4.6735053062438965,-1.0065269470214844,-6.4739990234375,-0.46647411584854126,sober
sylwiasober8.wav,0.3961716890335083,2634.923513528766,2458.5050151835103,4979.392527110541,0.14527095965485073,-412.7164611816406,84.44990539550781,16.84263801574707,23.673404693603516,6.740701675415039,5.556706428527832,-8.075550079345703,15.485173225402832,-2.040736198425293,2.410479784011841,-8.91832160949707,-0.15816828608512878,-10.906420707702637,1.1373240947723389,-2.6112418174743652,-6.757061004638672,-3.0879709720611572,2.4644179344177246,-7.922057151794434,6.6594977378845215,sober
sylwiasober2.wav,0.4679279923439026,2549.4659595918333,2407.0106991215516,4887.53466796875,0.13013671875,-404.8318176269531,84.7760009765625,7.3441162109375,29.032318115234375,3.949392795562744,-4.8452863693237305,-4.261300086975098,12.587593078613281,-9.971930503845215,2.7954516410827637,-2.8365726470947266,-0.29056692123413086,-5.378368377685547,-1.520467758178711,-6.559739589691162,2.329498767852783,-5.235468864440918,4.92306661605835,-7.495320796966553,-0.10206766426563263,sober
sylwiasober10.wav,0.4893181025981903,2667.151635014057,2684.0235039987124,5597.0947265625,0.12727039530529954,-456.9237365722656,79.7935791015625,11.53419017791748,23.91379737854004,10.296757698059082,6.356848239898682,-2.1921348571777344,13.624293327331543,0.20036537945270538,2.5999631881713867,-6.0147199630737305,0.40935254096984863,-5.206692695617676,3.635183811187744,-4.038803577423096,-1.1425883769989014,-3.7583487033843994,1.5575551986694336,-4.0002312660217285,3.1543049812316895,sober
sylwiasober6.wav,0.4394899010658264,2822.959825439657,2601.3926419192035,5491.204295438879,0.1510332892922794,-407.0357360839844,74.9737319946289,16.24437141418457,26.665771484375,8.172630310058594,2.8220577239990234,-5.371113300323486,13.531428337097168,-4.5159382820129395,0.5655958652496338,-6.019451141357422,-1.2014408111572266,-9.923628807067871,1.2966536283493042,-7.346405982971191,-2.129812240600586,-3.0697529315948486,1.1019949913024902,-7.665539741516113,1.0251294374465942,sober
